MINIMAX: Boss=(10, 33), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(10, 33), Player=(10, 29), Choice=('MOVE', (9, 32))
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(15, 29), Choice=('MOVE', (10, 32))
MINIMAX: Boss=(10, 32), Player=(14, 29), Choice=('MOVE', (11, 32))
MINIMAX: Boss=(11, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(11, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(11, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(15, 29), Choice=('MOVE', (12, 32))
MINIMAX: Boss=(12, 32), Player=(19, 32), Choice=('MOVE', (13, 32))
MINIMAX: Boss=(13, 32), Player=(15, 36), Choice=('MOVE', (13, 33))
MINIMAX: Boss=(13, 33), Player=(13, 35), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(13, 36), Choice=('MOVE', (13, 35))
MINIMAX: Boss=(13, 35), Player=(13, 36), Choice=ATTACK
MINIMAX: Boss=(13, 35), Player=(13, 36), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(12, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(7, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(2, 32), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(5, 30), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(6, 26), Choice=('MOVE', (9, 33))
MINIMAX: Boss=(9, 33), Player=(11, 29), Choice=('MOVE', (9, 32))
MINIMAX: Boss=(9, 32), Player=(16, 29), Choice=('MOVE', (10, 32))
MINIMAX: Boss=(10, 32), Player=(15, 29), Choice=('MOVE', (11, 32))
MINIMAX: Boss=(11, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(10, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(11, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(15, 29), Choice=('MOVE', (12, 32))
MINIMAX: Boss=(12, 32), Player=(20, 32), Choice=('MOVE', (13, 32))
MINIMAX: Boss=(13, 32), Player=(25, 36), Choice=('MOVE', (14, 32))
MINIMAX: Boss=(14, 32), Player=(25, 36), Choice=('MOVE', (15, 32))
MINIMAX: Boss=(15, 32), Player=(25, 29), Choice=('MOVE', (16, 32))
MINIMAX: Boss=(16, 32), Player=(30, 28), Choice=('MOVE', (17, 32))
MINIMAX: Boss=(17, 32), Player=(32, 27), Choice=('MOVE', (18, 32))
MINIMAX: Boss=(18, 32), Player=(36, 23), Choice=('MOVE', (19, 32))
MINIMAX: Boss=(19, 32), Player=(39, 17), Choice=('MOVE', (20, 32))
MINIMAX: Boss=(20, 32), Player=(39, 21), Choice=('MOVE', (21, 32))
MINIMAX: Boss=(21, 32), Player=(43, 21), Choice=('MOVE', (22, 32))
